
# Development Desktop 2.0 Beta
# Data Export for Sensor : BHI160
# Start: 2022-11-16 오후 4:25:17
SensorTime(WakeUp),SensorTime(NonWakeUp),Accel(NonWakeUp) - X axis - M/s2,Accel(NonWakeUp) - Y axis - M/s2,Accel(NonWakeUp) - Z axis - M/s2,Mag(NonWakeUp) - X axis - uT,Mag(NonWakeUp) - Y axis - uT,Mag(NonWakeUp) - Z axis - uT,Gyro(NonWakeUp) - X axis - deg/sec,Gyro(NonWakeUp) - Y axis - deg/sec,Gyro(NonWakeUp) - Z axis - deg/sec,MetaEvents (NonWakeUp) - Name,MetaEvents (NonWakeUp) - Byte 1,MetaEvents (NonWakeUp) - Byte 2,MetaEvents (WakeUp) - Name,MetaEvents (WakeUp) - Byte 1,MetaEvents (WakeUp) - Byte 2,
*,489.48153125,1.3755,-0.2287,9.5148,-3.2308,-11.5385,-15.1538,-8.9375,3.0000,-1.8750,*,*,*,*,*,*,
*,489.50143750,1.1337,-0.1472,9.4909,*,*,*,-2.8750,2.5000,-0.5625,*,*,*,*,*,*,
*,489.52137500,1.1457,-0.0658,9.5137,-3.5385,-11.8462,-13.9231,-5.0625,2.4375,0.6250,*,*,*,*,*,*,
*,489.54128125,1.1564,-0.2490,9.6812,*,*,*,-7.5000,8.3125,-4.7500,*,*,*,*,*,*,
*,489.56121875,0.7889,-0.0335,9.9674,-3.5385,-11.5385,-14.8462,-6.0625,9.4375,-5.7500,*,*,*,*,*,*,
*,489.58112500,0.9517,-0.1053,9.9566,*,*,*,-8.0000,2.8750,3.4375,*,*,*,*,*,*,
*,489.60106250,1.0463,-0.3927,9.7399,-3.5385,-10.9231,-14.8462,-6.1875,0.5000,8.8125,*,*,*,*,*,*,
*,489.62096875,1.2283,-0.0156,9.8488,*,*,*,1.4375,2.3750,6.5625,*,*,*,*,*,*,
*,489.64090625,1.2366,0.5902,10.0248,-3.5385,-10.9231,-15.1538,-0.4375,1.8125,1.5000,*,*,*,*,*,*,
*,489.66081250,1.1205,-0.0395,9.6908,*,*,*,-1.5625,2.2500,-1.5000,*,*,*,*,*,*,
*,489.68075000,1.1816,-0.1257,9.7088,-3.5385,-11.2308,-14.5385,5.8125,2.5625,-2.6875,*,*,*,*,*,*,
*,489.70068750,1.2115,0.6824,10.0332,*,*,*,11.0625,-2.3750,3.1875,*,*,*,*,*,*,
*,489.72059375,1.3228,0.8176,10.0560,-3.5385,-10.9231,-14.2308,4.6875,-8.3125,12.6250,*,*,*,*,*,*,
*,489.74053125,1.4773,0.3148,9.8321,*,*,*,2.4375,-11.8125,12.5000,*,*,*,*,*,*,
*,489.76043750,1.4066,0.1868,9.9518,-3.5385,-11.5385,-14.8462,5.3750,-10.0625,3.1250,*,*,*,*,*,*,
*,489.78037500,0.8931,0.1628,10.2056,*,*,*,10.0000,-14.3750,14.5000,*,*,*,*,*,*,
*,489.80031250,1.8376,0.4465,9.8931,-3.2308,-11.2308,-16.0769,14.7500,-34.0000,43.7500,*,*,*,*,*,*,
*,489.82021875,3.3891,0.5914,10.2870,*,*,*,5.6875,-15.6250,42.5625,*,*,*,*,*,*,
*,489.84015625,1.4904,-0.9374,9.2599,-3.5385,-11.2308,-14.2308,14.7500,-2.2500,26.8125,*,*,*,*,*,*,
*,489.86006250,1.6245,0.4561,9.8129,*,*,*,30.9375,9.1875,3.0625,*,*,*,*,*,*,
*,489.88000000,2.1560,0.6237,9.7459,-4.1538,-10.6154,-14.2308,24.0625,-3.3125,15.0000,*,*,*,*,*,*,
*,489.89990625,1.8185,1.3145,9.7938,*,*,*,-1.0000,-4.5625,28.0625,*,*,*,*,*,*,
*,489.91984375,2.0004,0.1951,10.0320,-4.1538,-11.5385,-13.6154,-8.1250,3.4375,18.3125,*,*,*,*,*,*,
*,489.93975000,1.4940,0.4190,9.6429,*,*,*,-11.3750,10.9375,12.7500,*,*,*,*,*,*,
*,489.95968750,0.9649,0.4465,9.6034,-5.0769,-11.5385,-14.8462,-24.0625,6.7500,1.3750,*,*,*,*,*,*,
*,489.97959375,0.8057,0.4417,9.7914,*,*,*,-27.4375,-14.5000,13.3125,*,*,*,*,*,*,
